date,temperature_mean,temperature_max,temperature_min
2024-12-21,7.5,14.2,1.3
2024-12-22,6.6,9.9,2.6
2024-12-23,5.2,10.0,1.7
2024-12-24,5.1,10.6,0.9
2024-12-25,6.1,10.0,2.8
2024-12-26,7.5,13.2,2.9
2024-12-27,6.4,9.8,3.7
2024-12-28,4.5,9.4,-0.3
2024-12-29,5.0,10.9,-0.4
2024-12-30,5.6,9.4,2.7
2024-12-31,6.5,12.7,0.8
2025-01-01,7.1,11.0,4.1
2025-01-02,6.8,12.9,1.6
2025-01-03,3.9,6.1,2.4
2025-01-04,3.9,8.1,0.5
2025-01-05,3.3,8.5,-1.6
2025-01-06,3.5,8.3,0.2
2025-01-07,7.4,11.1,4.2
2025-01-08,5.1,9.4,1.5
2025-01-09,4.7,10.5,-0.5
2025-01-10,2.9,7.5,-1.8
2025-01-11,3.5,9.3,-0.9
2025-01-12,2.9,5.8,-0.2
2025-01-13,5.3,10.9,0.9
2025-01-14,4.5,10.5,-1.3
2025-01-15,5.0,12.0,-0.4
2025-01-16,3.3,6.1,0.9
2025-01-17,3.0,6.5,0.2
2025-01-18,3.9,7.9,0.9
2025-01-19,,3.3,-0.2
2025-01-20,,,
