date,temperature_mean,temperature_max,temperature_min
2024-01-21,8.4,13.3,4.9
2024-01-22,9.9,14.1,5.2
2024-01-23,7.3,11.7,4.3
2024-01-24,2.3,6.8,-2.5
2024-01-25,1.7,8.0,-3.9
2024-01-26,2.4,10.1,-4.8
2024-01-27,4.7,10.3,0.6
2024-01-28,4.1,9.6,0.4
2024-01-29,5.2,10.2,0.4
2024-01-30,5.7,12.1,0.4
2024-01-31,6.6,12.7,-0.2
2024-02-01,7.3,14.3,3.0
2024-02-02,3.4,5.4,1.0
2024-02-03,5.4,10.4,0.7
2024-02-04,4.0,6.3,1.5
2024-02-05,1.4,3.5,0.3
2024-02-06,2.4,4.9,0.7
2024-02-07,2.9,8.6,-1.4
2024-02-08,4.0,10.2,-0.8
2024-02-09,4.7,10.0,0.3
2024-02-10,5.0,10.6,-0.8
2024-02-11,6.2,10.5,2.2
2024-02-12,5.1,11.6,0.7
2024-02-13,6.3,15.9,-2.1
2024-02-14,8.7,16.6,1.5
2024-02-15,12.0,20.2,3.4
2024-02-16,9.1,15.6,4.8
2024-02-17,7.7,14.1,3.0
2024-02-18,12.3,18.5,8.5
2024-02-19,15.3,18.4,12.3
2024-02-20,18.1,23.3,13.7
2024-02-21,9.0,12.9,7.8
2024-02-22,6.0,8.0,4.1
2024-02-23,2.9,4.1,2.1
2024-02-24,4.2,8.9,-0.6
2024-02-25,2.8,4.9,0.2
2024-02-26,6.6,10.5,4.0
2024-02-27,5.4,8.4,2.8
2024-02-28,6.2,11.8,2.6
2024-02-29,5.3,10.7,-0.7
2024-03-01,8.5,14.0,3.3
2024-03-02,4.5,6.9,1.8
2024-03-03,4.9,11.8,-1.8
2024-03-04,5.9,12.5,-1.1
2024-03-05,4.9,8.0,1.2
2024-03-06,4.9,9.4,0.8
2024-03-07,5.5,8.7,2.6
2024-03-08,4.0,8.2,1.2
2024-03-09,4.0,9.6,-0.5
2024-03-10,4.7,11.4,-0.3
2024-03-11,5.5,11.9,-1.6
2024-03-12,6.9,10.5,4.7
2024-03-13,8.0,12.3,4.0
2024-03-14,7.2,13.3,1.3
2024-03-15,9.2,15.2,2.1
2024-03-16,12.5,19.4,8.0
2024-03-17,12.9,20.2,6.1
2024-03-18,7.8,12.1,3.4
2024-03-19,7.0,11.3,2.8
2024-03-20,6.9,12.3,1.7
2024-03-21,5.0,9.3,1.8
2024-03-22,5.1,11.1,-1.0
2024-03-23,4.0,7.1,0.5
2024-03-24,9.1,14.9,2.0
2024-03-25,11.1,12.8,10.1
2024-03-26,9.6,11.8,5.6
2024-03-27,9.6,15.1,5.2
2024-03-28,9.2,15.0,4.0
2024-03-29,16.0,21.0,12.7
2024-03-30,15.4,22.5,9.7
2024-03-31,16.9,25.8,9.7
2024-04-01,13.2,17.0,10.5
2024-04-02,12.1,17.6,6.2
2024-04-03,12.5,15.8,8.9
2024-04-04,14.3,17.6,11.2
2024-04-05,10.7,12.3,9.3
2024-04-06,11.8,16.2,8.3
2024-04-07,15.5,20.5,11.1
2024-04-08,16.9,21.7,12.4
2024-04-09,14.8,20.0,8.9
2024-04-10,9.7,15.1,5.1
2024-04-11,11.7,18.2,5.0
2024-04-12,13.7,17.6,9.6
2024-04-13,14.9,20.7,9.6
2024-04-14,15.8,22.5,10.0
2024-04-15,17.1,24.0,11.1
2024-04-16,17.6,21.3,14.3
2024-04-17,18.2,22.4,15.0
2024-04-18,16.3,20.8,12.9
2024-04-19,16.3,21.4,12.8
2024-04-20,16.9,23.9,10.4
2024-04-21,17.5,22.8,13.0
2024-04-22,16.2,19.2,14.4
2024-04-23,16.3,19.5,13.4
2024-04-24,15.1,16.5,14.2
2024-04-25,18.4,23.7,13.3
2024-04-26,18.6,25.2,12.2
2024-04-27,18.8,22.3,16.6
2024-04-28,19.9,26.8,13.6
2024-04-29,19.9,24.7,15.5
2024-04-30,20.6,24.5,17.2
2024-05-01,17.0,19.8,12.5
2024-05-02,14.6,19.7,11.2
2024-05-03,15.6,21.8,9.2
2024-05-04,18.7,26.3,12.4
2024-05-05,19.6,26.2,12.7
2024-05-06,19.6,22.1,17.3
2024-05-07,19.9,21.5,18.6
2024-05-08,17.7,23.2,12.7
2024-05-09,13.1,17.3,10.5
2024-05-10,15.7,22.0,6.4
2024-05-11,17.9,23.8,10.7
2024-05-12,19.8,23.5,16.4
2024-05-13,19.4,22.2,16.0
2024-05-14,16.4,20.5,13.6
2024-05-15,18.1,23.9,12.2
2024-05-16,18.3,24.2,15.2
2024-05-17,18.6,24.6,11.1
2024-05-18,19.9,26.4,13.3
2024-05-19,18.7,21.9,14.7
2024-05-20,18.6,23.3,14.9
2024-05-21,21.2,27.2,15.6
2024-05-22,19.3,23.7,16.8
2024-05-23,20.1,24.1,16.7
2024-05-24,21.9,27.6,16.4
2024-05-25,19.4,25.0,16.7
2024-05-26,20.3,24.5,16.6
2024-05-27,21.4,24.6,18.9
2024-05-28,23.1,25.9,21.6
2024-05-29,21.0,25.0,18.1
2024-05-30,21.3,26.5,16.8
2024-05-31,18.3,20.0,16.4
2024-06-01,20.0,24.7,17.2
2024-06-02,18.8,23.3,16.8
2024-06-03,18.6,23.6,15.6
2024-06-04,18.7,23.5,15.2
2024-06-05,19.8,25.5,14.8
2024-06-06,20.7,24.9,16.9
2024-06-07,21.0,25.0,17.9
2024-06-08,20.8,26.6,15.3
2024-06-09,21.5,25.5,19.3
2024-06-10,20.9,24.5,18.9
2024-06-11,22.4,27.0,18.7
2024-06-12,22.9,28.0,18.1
2024-06-13,21.6,24.2,19.2
2024-06-14,24.0,29.9,18.6
2024-06-15,23.4,28.6,19.1
2024-06-16,23.5,26.8,21.2
2024-06-17,25.0,29.6,21.7
2024-06-18,19.8,22.5,18.1
2024-06-19,22.3,28.4,15.7
2024-06-20,23.0,27.8,18.1
2024-06-21,20.4,22.6,18.3
2024-06-22,22.8,27.8,15.5
2024-06-23,22.4,24.3,21.0
2024-06-24,25.6,30.9,20.7
2024-06-25,26.6,30.9,22.8
2024-06-26,25.6,30.5,22.6
2024-06-27,24.0,28.1,21.9
2024-06-28,22.0,23.0,21.0
2024-06-29,23.4,27.9,20.5
2024-06-30,24.8,28.2,21.8
2024-07-01,26.2,28.0,24.6
2024-07-02,26.6,31.2,23.2
2024-07-03,26.2,31.3,22.7
2024-07-04,28.2,33.1,23.4
2024-07-05,28.2,33.5,24.3
2024-07-06,28.2,33.5,24.3
2024-07-07,28.4,32.7,24.4
2024-07-08,30.0,35.1,25.0
2024-07-09,28.6,33.5,24.9
2024-07-10,28.2,32.3,24.7
2024-07-11,27.1,29.4,24.7
2024-07-12,23.9,25.6,22.4
2024-07-13,25.3,30.2,21.3
2024-07-14,25.7,29.0,23.7
2024-07-15,24.5,26.8,22.3
2024-07-16,23.6,26.3,21.1
2024-07-17,25.5,30.0,21.9
2024-07-18,26.6,30.9,23.0
2024-07-19,28.0,32.3,23.9
2024-07-20,29.6,35.0,25.6
2024-07-21,27.8,32.0,24.2
2024-07-22,29.6,35.0,25.0
2024-07-23,29.1,33.2,24.9
2024-07-24,29.8,34.7,25.4
2024-07-25,29.7,33.9,26.7
2024-07-26,30.1,34.9,25.7
2024-07-27,30.5,35.5,26.0
2024-07-28,31.2,37.3,26.1
2024-07-29,32.2,38.1,28.0
2024-07-30,32.1,38.6,27.8
2024-07-31,30.4,36.2,26.9
2024-08-01,29.3,34.6,24.9
2024-08-02,29.5,35.8,24.6
2024-08-03,29.9,36.4,25.1
2024-08-04,30.6,37.5,25.8
2024-08-05,30.7,36.9,26.7
2024-08-06,29.7,34.8,26.6
2024-08-07,27.7,32.4,24.9
2024-08-08,28.0,32.3,24.5
2024-08-09,28.4,33.5,24.7
2024-08-10,28.9,33.9,25.0
2024-08-11,30.6,35.7,25.5
2024-08-12,31.2,36.2,26.9
2024-08-13,31.2,37.0,26.9
2024-08-14,31.0,36.4,26.5
2024-08-15,30.4,36.6,25.3
2024-08-16,26.1,27.9,24.7
2024-08-17,29.9,34.6,25.4
2024-08-18,28.4,32.4,25.4
2024-08-19,28.3,32.7,25.2
2024-08-20,28.5,33.3,25.1
2024-08-21,27.7,31.8,24.5
2024-08-22,27.6,30.4,25.3
2024-08-23,28.7,31.7,26.3
2024-08-24,28.5,32.8,25.6
2024-08-25,28.0,32.1,25.0
2024-08-26,28.4,32.1,25.8
2024-08-27,27.4,31.3,24.8
2024-08-28,27.5,30.3,25.4
2024-08-29,26.5,30.3,24.4
2024-08-30,26.5,27.6,25.6
2024-08-31,27.1,29.9,25.2
2024-09-01,27.0,29.7,24.4
2024-09-02,27.9,31.2,25.8
2024-09-03,24.3,26.5,22.4
2024-09-04,24.1,27.9,21.8
2024-09-05,25.3,29.6,21.7
2024-09-06,27.0,31.5,22.9
2024-09-07,27.1,31.2,23.8
2024-09-08,27.4,32.1,23.8
2024-09-09,26.9,31.9,23.1
2024-09-10,27.1,31.6,23.0
2024-09-11,28.1,32.1,23.9
2024-09-12,28.0,32.3,24.5
2024-09-13,28.5,32.3,25.3
2024-09-14,28.5,33.1,24.8
2024-09-15,29.2,33.5,25.8
2024-09-16,26.6,30.4,23.3
2024-09-17,27.3,32.6,22.5
2024-09-18,29.0,35.2,25.4
2024-09-19,28.1,32.3,25.2
2024-09-20,28.9,33.2,25.2
2024-09-21,27.8,31.6,23.9
2024-09-22,25.4,28.7,22.6
2024-09-23,22.4,26.2,18.7
2024-09-24,19.7,23.9,16.6
2024-09-25,20.1,23.2,15.9
2024-09-26,23.9,28.0,20.5
2024-09-27,22.8,24.8,21.3
2024-09-28,23.6,27.0,21.6
2024-09-29,22.4,25.0,20.4
2024-09-30,21.7,25.2,19.2
2024-10-01,22.4,26.9,18.5
2024-10-02,25.1,31.0,20.1
2024-10-03,23.6,26.6,21.8
2024-10-04,25.0,28.4,22.1
2024-10-05,21.3,22.8,19.5
2024-10-06,22.0,25.6,19.5
2024-10-07,23.6,28.3,18.9
2024-10-08,19.1,22.0,15.8
2024-10-09,16.3,17.6,15.1
2024-10-10,17.0,20.5,14.5
2024-10-11,17.5,22.7,12.3
2024-10-12,18.8,23.8,14.7
2024-10-13,19.3,25.0,15.5
2024-10-14,19.0,24.3,14.5
2024-10-15,20.4,25.7,16.1
2024-10-16,21.4,25.7,16.0
2024-10-17,21.4,24.7,19.2
2024-10-18,21.1,24.5,18.9
2024-10-19,23.8,28.8,20.7
2024-10-20,15.8,20.0,11.5
2024-10-21,14.2,19.4,9.1
2024-10-22,18.0,23.3,12.7
2024-10-23,21.5,25.6,16.9
2024-10-24,22.1,26.9,18.9
2024-10-25,19.2,20.7,17.2
2024-10-26,18.2,21.6,15.3
2024-10-27,19.1,23.5,14.9
2024-10-28,18.7,20.7,17.3
2024-10-29,15.5,18.0,12.8
2024-10-30,16.1,22.2,12.9
2024-10-31,15.4,20.0,11.1
2024-11-01,15.5,21.2,10.5
2024-11-02,15.8,17.5,14.6
2024-11-03,16.6,20.4,12.7
2024-11-04,15.6,22.2,9.2
2024-11-05,15.1,19.3,11.4
2024-11-06,13.0,14.8,11.1
2024-11-07,11.1,15.0,8.3
2024-11-08,10.0,14.6,6.2
2024-11-09,10.3,16.1,5.0
2024-11-10,12.8,17.1,8.7
2024-11-11,15.8,21.3,12.9
2024-11-12,15.0,19.9,10.2
2024-11-13,15.5,18.9,13.2
2024-11-14,14.7,18.1,11.7
2024-11-15,16.0,18.6,13.7
2024-11-16,16.0,18.7,13.2
2024-11-17,17.8,22.2,14.3
2024-11-18,12.4,17.3,9.3
2024-11-19,8.4,11.1,6.2
2024-11-20,6.1,7.7,4.8
2024-11-21,9.9,12.8,7.9
2024-11-22,11.2,16.6,6.2
2024-11-23,10.5,14.4,7.4
2024-11-24,9.1,13.3,6.6
2024-11-25,8.4,12.3,4.8
2024-11-26,8.6,13.5,3.7
2024-11-27,13.5,18.5,9.0
2024-11-28,11.2,15.7,7.3
2024-11-29,8.8,13.8,5.1
2024-11-30,9.0,14.5,4.6
2024-12-01,9.8,15.0,5.4
2024-12-02,10.3,15.2,6.4
2024-12-03,10.2,15.1,5.5
2024-12-04,10.9,15.5,7.7
2024-12-05,10.5,14.3,7.7
2024-12-06,9.2,14.7,4.1
2024-12-07,7.0,10.3,4.5
2024-12-08,6.0,11.2,2.8
2024-12-09,6.4,10.8,3.0
2024-12-10,7.7,12.4,4.6
2024-12-11,7.0,11.8,3.5
2024-12-12,5.2,9.2,2.2
2024-12-13,3.9,8.2,0.5
2024-12-14,5.4,10.4,1.7
2024-12-15,4.3,9.8,-1.0
2024-12-16,5.7,11.1,1.3
2024-12-17,6.5,11.8,1.4
2024-12-18,5.9,11.1,1.6
2024-12-19,4.5,7.5,2.8
2024-12-20,5.3,9.9,1.1
2024-12-21,7.5,14.2,1.3
2024-12-22,6.6,9.9,2.6
2024-12-23,5.2,10.0,1.7
2024-12-24,5.1,10.6,0.9
2024-12-25,6.1,10.0,2.8
2024-12-26,7.5,13.2,2.9
2024-12-27,6.4,9.8,3.7
2024-12-28,4.5,9.4,-0.3
2024-12-29,5.0,10.9,-0.4
2024-12-30,5.6,9.4,2.7
2024-12-31,6.5,12.7,0.8
2025-01-01,7.1,11.0,4.1
2025-01-02,6.8,12.9,1.6
2025-01-03,3.9,6.1,2.4
2025-01-04,3.9,8.1,0.5
2025-01-05,3.3,8.5,-1.6
2025-01-06,3.5,8.3,0.2
2025-01-07,7.4,11.1,4.2
2025-01-08,5.1,9.4,1.5
2025-01-09,4.7,10.5,-0.5
2025-01-10,2.9,7.5,-1.8
2025-01-11,3.5,9.3,-0.9
2025-01-12,2.9,5.8,-0.2
2025-01-13,5.3,10.9,0.9
2025-01-14,4.5,10.5,-1.3
2025-01-15,5.0,12.0,-0.4
2025-01-16,3.3,6.1,0.9
2025-01-17,3.0,6.5,0.2
2025-01-18,3.9,7.9,0.9
2025-01-19,,3.3,-0.2
2025-01-20,,,
