ショップ名,親カテゴリ,子カテゴリ,親商品タイプ,子商品タイプ,性別,ブランド品番,商品名,CS品番,カラー,サイズ,販売価格（税抜）,販売タイプ,価格タイプ,元上代（税抜）,注文数,合計金額（税抜）,注文日,バーコード
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,IV/FREE,アイボリー,FREE,2000,通常,セール,2200,5,10000,20250112,3000000718629
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,BEG/FREE,ベージュ,FREE,1800,通常,セール,2200,3,5400,20250117,3000000718643
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,IV/FREE,アイボリー,FREE,2200,通常,プロパー,2200,1,2200,20250115,3000000718629
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,BEG/FREE,ベージュ,FREE,2000,通常,セール,2200,2,4000,20250113,3000000718643
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,BEG/FREE,ベージュ,FREE,2000,通常,セール,2200,2,4000,20250112,3000000718643
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,IV/FREE,アイボリー,FREE,2200,通常,プロパー,2200,2,4400,20250116,3000000718629
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,BEG/FREE,ベージュ,FREE,2200,通常,プロパー,2200,1,2200,20250114,3000000718643
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,IV/FREE,アイボリー,FREE,2000,通常,セール,2200,10,20000,20250113,3000000718629
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,IV/FREE,アイボリー,FREE,1800,通常,セール,2200,1,1800,20250117,3000000718629
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ファッション雑貨,マフラー,WOMEN,AGPAO1122001/AGYHS0922001/AGYHS1021001/GVYHS0920001,ボリュームマフラー  / AUNT MARIE'S,IV/FREE,アイボリー,FREE,2200,通常,プロパー,2200,1,2200,20250114,3000000718629
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ジャケット/アウター,テーラードジャケット,WOMEN,AMEZC0422002/AMGFA0221003,ダブルテーラードジャケット,GRY/FREE,グレー,FREE,5400,通常,セール,6300,1,5400,20250112,3000000966600
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ジャケット/アウター,テーラードジャケット,WOMEN,AMEZC0422002/AMGFA0221003,ダブルテーラードジャケット,GRY/FREE,グレー,FREE,5400,通常,セール,6300,1,5400,20250113,3000000966600
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ジャケット/アウター,テーラードジャケット,WOMEN,AMEZC0422002/AMGFA0221003,ダブルテーラードジャケット,BLK/FREE,ブラック,FREE,5400,通常,セール,6300,1,5400,20250117,3000000563137
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ジャケット/アウター,テーラードジャケット,WOMEN,AMEZC0422002/AMGFA0221003,ダブルテーラードジャケット,NVY/FREE,ネイビー,FREE,5400,通常,セール,6300,4,21600,20250113,3000000563120
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ジャケット/アウター,テーラードジャケット,WOMEN,AMEZC0422002/AMGFA0221003,ダブルテーラードジャケット,BLK/FREE,ブラック,FREE,5400,通常,セール,6300,2,10800,20250112,3000000563137
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ジャケット/アウター,テーラードジャケット,WOMEN,AMEZC0422002/AMGFA0221003,ダブルテーラードジャケット,BLK/FREE,ブラック,FREE,5400,通常,セール,6300,1,5400,20250113,3000000563137
YARD PLUS/AUNT MARIE'S,Aunt Marie's,Aunt Marie's,ジャケット/アウター,テーラードジャケット,WOMEN,AMEZC0422002/AMGFA0221003,ダブルテーラードジャケット,NVY/FREE,ネイビー,FREE,6300,通常,プロパー,6300,1,6300,20250116,3000000563120
